trial,arm,order_id,side,intended_size,filled_size,fill_rate,decision_price,avg_fill_price,implementation_shortfall,vwap_slippage,timed_out,tick_to_trade_us,fees_paid
22,naive,4,BUY,3817,3817,1,9155.5,9165.76,39165.5,-32.1432,0,460.4,1.62827
22,naive,5,BUY,6903,6903,1,8846.5,8884.43,261801,37.9256,0,403.2,6.548
23,naive,0,SELL,6486,6486,1,9740,9704.03,233275,22.4745,0,476.2,2.76682
23,naive,1,SELL,6702,5916,0.882722,9036.5,9026.56,58785,42.4415,1,929.3,2.74708
23,naive,2,BUY,879,128,0.14562,9166.5,9169.78,420,3.28125,1,414.6,0.0546027
23,naive,3,BUY,8173,7838,0.959011,8938.5,8981.7,338584,94.0032,1,531.9,4.93563
23,naive,4,SELL,8545,8545,1,9122.5,9097.56,213123,1.44119,0,115,8.10556
23,naive,5,BUY,5745,5745,1,8861.5,8883.94,128943,22.4445,0,119.2,5.44955
24,naive,0,SELL,9971,9971,1,9772,9755.93,160192,16.0658,0,436.1,4.25347
24,naive,1,SELL,4610,3605,0.781996,9803,9764.86,137501,38.1417,1,530.8,2.62514
24,naive,2,SELL,6191,6191,1,9639,9613.44,158264,37.3004,0,565.7,4.13022
24,naive,3,BUY,6067,6067,1,9270,9287.41,105598,17.4053,0,435,2.58808
24,naive,4,BUY,539,539,1,8615,8618,1617,3,0,101.3,0.511281
24,naive,5,BUY,1973,1973,1,8707.5,8714.06,12939.5,-39.6784,0,416.6,0.84165
25,naive,0,SELL,6347,6347,1,10247.5,10172.7,474442,74.7505,0,819.1,2.70753
25,naive,1,SELL,1122,1122,1,10171.5,10156.9,16347,14.5695,0,419.8,0.478627
25,naive,2,BUY,2952,449,0.1521,10170,10235.8,29552,65.8174,1,765.2,0.191536
25,naive,3,SELL,6737,6737,1,10155,10144.7,69335,31.2233,0,1131.4,2.8739
25,naive,4,BUY,3400,3400,1,10287,10288,3400,1,0,107.4,3.22515
25,naive,5,SELL,1183,1183,1,10309,10308.5,600,3.22349,0,422.2,0.504649
26,naive,0,BUY,8487,8487,1,10380,10415.8,303467,35.7567,0,507.3,3.62042
26,naive,1,BUY,3909,3696,0.94551,10453,10514,225425,93.4456,1,635.4,2.3278
26,naive,2,BUY,4206,1789,0.425345,10652.5,10658.6,10928.5,6.10872,1,793.5,0.763159
26,naive,3,BUY,5883,1912,0.325004,10552,10621.9,133584,74.0157,1,523.5,0.973791
26,naive,4,SELL,1284,1284,1,10185,10183.5,1906,1.48442,0,418.4,0.547734
26,naive,5,BUY,8319,8319,1,10402,10428.6,220930,26.5573,0,1085.2,4.54941
27,naive,0,BUY,6224,317,0.0509319,10106.5,10114.2,2453.5,110.786,1,1373.4,0.135227
27,naive,1,SELL,1641,1641,1,10149.5,10153,-5743.5,5.73667,0,578.2,0.700024
27,naive,2,BUY,9641,9641,1,10158,10179.1,203117,21.068,0,445.9,4.1127
27,naive,3,BUY,8801,8801,1,10077,10139.5,549957,62.488,0,451.5,3.75436
27,naive,4,SELL,5336,5336,1,10086.5,10062.5,128240,24.033,0,644.7,3.17929
27,naive,5,SELL,8260,8260,1,10005,9994.23,88971,10.7713,0,425.2,3.52358
28,naive,0,SELL,1636,1636,1,9963,9956.96,9881,6.03973,0,423.4,0.697891
28,naive,1,BUY,4773,4773,1,9974.5,9998.79,115936,9.79007,0,420.1,2.03608
28,naive,2,SELL,528,528,1,9730.5,9730.4,52,21.3309,0,415.7,0.225236
28,naive,3,SELL,879,879,1,9646,9647.84,-1621,-1.84414,0,108.1,0.833796
28,naive,4,BUY,2686,2686,1,9556.5,9549.9,-17719,-47.0968,0,422.3,1.1458
28,naive,5,SELL,9696,9696,1,9604,9546.88,553877,57.1243,0,574.1,6.29824
29,naive,0,BUY,4393,4393,1,10055,10062.4,32378,8.32504,0,422.4,1.87398
29,naive,1,BUY,4098,4098,1,9894.5,9915.6,86451,78.129,0,517.1,2.14746
29,naive,2,SELL,1650,1650,1,9722,9720.15,3054,3.05805,0,428,0.703863
29,naive,3,SELL,3044,3044,1,9669,9669.77,-2344,-11.1662,0,420.2,1.29852
29,naive,4,SELL,6155,6155,1,9680.5,9673.76,41484.5,6.73997,0,423.6,2.62562
29,naive,5,BUY,5087,5087,1,9637,9660.32,118627,-9.76241,0,424.4,2.17003
30,naive,0,BUY,4251,4251,1,9302.5,9325.82,99113.5,23.3153,0,122.1,4.03239
30,naive,1,SELL,5965,5965,1,9415.5,9373.66,249571,41.8393,0,428.1,2.54457
30,naive,2,SELL,9604,3047,0.317264,9093,9067.53,77613,25.4719,1,1020.2,2.8903
30,naive,3,BUY,7474,7474,1,8801,8848.43,354511,47.4326,0,905.6,4.51623
30,naive,4,SELL,4123,0,0,8564,0,0,8564,1,1249.9,0
30,naive,5,SELL,539,0,0,8122.5,0,0,8173.11,1,1237.1,0
31,naive,0,BUY,2935,2935,1,9681,9688.82,22939,7.81567,0,105.5,2.78406
31,naive,1,SELL,6604,6604,1,9698,9693.63,28839,-22.3438,0,718.9,2.81716
31,naive,2,BUY,7824,7824,1,9482,9504.73,177874,49.9235,0,533,6.95133
31,naive,3,SELL,8719,7831,0.898153,9178,9126.4,404071,51.5989,1,560.5,4.51662
31,naive,4,BUY,5821,1315,0.225906,9535.5,9568.81,43805.5,33.3122,1,312.1,1.24737
31,naive,5,SELL,9300,9300,1,9607.5,9587.1,189719,20.3999,0,1079.5,3.96723
32,naive,0,BUY,5814,3595,0.618335,10110.5,10121.8,40626.5,18.7227,1,2361.5,1.53357
32,naive,1,SELL,838,838,1,10115.5,10103.4,10146,12.1074,0,499.8,0.357477
32,naive,2,SELL,6335,6335,1,10115,10050.3,410048,64.7274,0,2865.5,6.00921
32,naive,3,SELL,3052,3052,1,10087,10059.9,82689,27.0934,0,5626.3,1.30193
32,naive,4,SELL,5917,5917,1,10148.5,10152,-20863.5,-3.52603,0,485.9,2.5241
32,naive,5,SELL,6683,6683,1,10119,10114.6,29533,4.41912,0,620.9,2.85086
33,naive,0,BUY,6080,5315,0.874178,9964,9986.71,120706,22.7104,1,529.2,3.88807
33,naive,1,BUY,3048,2426,0.795932,9750.5,9811.98,149157,88.9827,1,525.5,1.28179
33,naive,2,SELL,1364,1364,1,9024,9013.44,14401,4.78608,0,140.4,1.29385
33,naive,3,BUY,5252,5252,1,9075,9152.6,407538,63.5967,0,455,2.24042
33,naive,4,BUY,9697,9697,1,9185.5,9217.86,313833,32.3639,0,132,9.19832
33,naive,5,SELL,3668,3668,1,9146.5,9138.22,30365,-0.938145,0,590.9,1.56471
34,naive,0,SELL,4822,4223,0.875778,10140.5,10099.1,174776,41.8868,1,524.7,3.20353
34,naive,1,SELL,7788,6287,0.807268,10269,10235.8,208882,61.3191,1,543.6,3.84284
34,naive,2,BUY,2299,2299,1,10200,10258.2,133793,40.2087,0,119.6,2.18077
34,naive,3,BUY,2528,2528,1,9873,9894.74,54971,4.89636,0,421,1.0784
34,naive,4,SELL,514,514,1,9802,9800.25,897,1.74514,0,2979.2,0.487567
34,naive,5,SELL,2704,2704,1,10106.5,10086.8,53289,19.7075,0,112.6,2.56494
35,naive,0,BUY,7569,7569,1,10130.5,10152.7,168269,22.2314,0,721.1,4.83393
35,naive,1,BUY,897,732,0.816054,10163,10216.7,39337,53.7391,1,1322.7,0.312259
35,naive,2,BUY,946,0,0,10129,0,-0,-10129,1,2697,0
35,naive,3,BUY,3058,1073,0.350883,10137,10171.1,36565,44.4619,1,3203.4,0.869574
35,naive,4,SELL,835,835,1,10136,10136,-0,-0,0,867.6,0.792059
35,naive,5,SELL,8829,8829,1,10048,9973.59,657005,84.8988,0,826.3,3.76631
36,naive,0,SELL,4933,4933,1,9853.5,9810.85,210389,42.6492,0,129.2,4.67931
36,naive,1,BUY,5410,5410,1,9705.5,9697.57,-42899,-16.4296,0,963,2.30782
36,naive,2,SELL,7531,7531,1,9669.5,9639.64,224890,29.862,0,886.3,7.1317
36,naive,3,BUY,9717,9717,1,9575.5,9612.53,359779,34.5258,0,141.1,9.21729
36,naive,4,SELL,4172,4172,1,9734.5,9704.77,124029,-18.3128,0,22971.6,3.95745
36,naive,5,SELL,2073,2073,1,9712,9718.42,-13300,-6.41582,0,129.3,1.96639
37,naive,0,SELL,7586,7586,1,9852,9848,30316,-7.25479,0,3441,7.19588
37,naive,1,BUY,4631,4631,1,9676.5,9711.57,162390,48.4383,0,10010.7,4.39284
37,naive,2,SELL,7068,7068,1,9482.5,9461.08,151397,21.4201,0,438.5,3.0151
37,naive,3,BUY,8050,8050,1,9540,9543.39,27254,5.87444,0,738.5,3.434
37,naive,4,SELL,5260,5260,1,9448,9427.06,110126,20.9365,0,428.1,2.24383
37,naive,5,SELL,8329,8329,1,9300,9278.42,179750,27.2227,0,435.8,3.55302
38,naive,0,SELL,9795,9795,1,10481.5,10435.1,454774,46.9179,0,152.3,9.29128
38,naive,1,SELL,9677,9677,1,10641.5,10583.8,558817,58.4824,0,167.9,9.17935
38,naive,2,SELL,9233,9233,1,10639,10622.8,149137,-3.93342,0,539.3,6.13518
38,naive,3,BUY,2179,2179,1,10736.5,10767.3,67138.5,38.3116,0,430.9,0.929526
38,naive,4,SELL,4604,4604,1,10930.5,10924.4,28122,6.10817,0,430.5,1.96399
38,naive,5,SELL,2322,2322,1,10808.5,10799,22031,7.99081,0,11399.2,2.20259
39,naive,0,BUY,7952,7952,1,10032.5,10097.3,515328,64.3048,0,612.3,7.54306
39,naive,1,SELL,5367,5367,1,9936,9900.23,191951,35.765,0,123.2,5.09099
39,naive,2,SELL,1843,1843,1,9912,9893.86,33437,-22.0879,0,423.8,0.786194
39,naive,3,SELL,4714,4714,1,10113.5,10072.9,191437,40.6103,0,121.2,4.47158
39,naive,4,SELL,8240,8240,1,9903,9847.54,457006,108.522,0,631.5,6.34215
39,naive,5,BUY,5033,5033,1,9753,9759.83,34397,7.38014,0,418.1,2.147
40,naive,0,SELL,5023,5023,1,10271,10234,185628,24.7104,0,122,4.76468
40,naive,1,BUY,3639,3639,1,9686.5,9706.56,73006.5,22.7247,0,156.2,3.45186
40,naive,2,SELL,7924,7924,1,9391.5,9327.07,510542,105.977,0,430.8,3.38025
40,naive,3,SELL,9097,9097,1,9444,9376.98,609693,67.0213,0,121.5,8.62917
40,naive,4,SELL,6196,6196,1,9156,9121.03,216705,34.975,0,539.2,3.66517
40,naive,5,SELL,4469,4469,1,9349,9351.51,-11219,20.5762,0,632.5,1.9064
41,naive,0,BUY,5857,5857,1,10111.5,10167.2,326395,87.9779,0,426.9,2.4985
