trial,arm,order_id,side,intended_size,filled_size,fill_rate,decision_price,avg_fill_price,implementation_shortfall,vwap_slippage,timed_out,tick_to_trade_us,fees_paid
9,sor,3,SELL,5529,5529,1,9737.5,9735.66,10196.5,1.84419,0,510.9,2.0601
9,sor,4,BUY,8546,8546,1,9748,9740.47,-64318,-7.52609,0,607.4,2.3774
9,sor,5,SELL,1800,1800,1,9710,9704.72,9508,5.28222,0,184,0.8424
10,sor,0,BUY,2168,2168,1,9875,9898.78,51551,-31.2219,0,141.1,1.9512
10,sor,1,SELL,4211,4211,1,9852,9854.42,-10192,1.40969,0,472.1,1.1663
10,sor,2,BUY,4298,4298,1,9994.5,9917.2,-332232,-61.7992,0,326.5,0.4634
10,sor,3,SELL,6210,6210,1,9984.5,9959.59,154698,-33.8683,0,866.3,2.2194
10,sor,4,SELL,5453,5453,1,9779.5,9779.38,635.5,0.116541,0,513,1.6199
10,sor,5,SELL,6432,3689,0.573539,9585,9564.61,75207,20.3868,1,2259.7,1.2518
11,sor,0,SELL,4164,4164,1,10000,9988.44,48125,11.5574,0,569.8,2.43
11,sor,1,BUY,7188,7188,1,9869,9872.76,27039,-7.90298,0,548.7,2.9997
11,sor,2,BUY,8177,8177,1,9997,9972.17,-203018,26.6033,0,1882.3,2.5808
11,sor,3,SELL,842,842,1,9819,9811.45,6360,-4.44656,0,173.3,0.4122
11,sor,4,SELL,7629,7629,1,9672.5,9663.51,68552.5,-5.01337,0,574.9,3.2967
11,sor,5,SELL,860,860,1,9693.5,9670,20210,23.5,0,175.7,0.086
12,sor,0,BUY,8032,4360,0.542829,10166.5,10196.7,131464,30.1523,1,677.3,1.7401
12,sor,1,BUY,8549,8549,1,10027.5,10040.9,114664,-10.676,0,2018.9,2.8502
12,sor,2,SELL,3418,3418,1,10151.5,10149.7,6320,1.84903,0,492.1,1.087
12,sor,3,SELL,2942,2942,1,9974.5,9957.62,49659,15.2434,0,447.3,0.7316
12,sor,4,SELL,5326,5326,1,9885.5,9881.66,20457,6.34097,0,500.5,1.7721
12,sor,5,SELL,3861,3861,1,9868.5,9878.55,-38794.5,18.1479,0,467.8,0.7506
13,sor,0,SELL,1024,1024,1,9895.5,9919.31,-24380,-29.077,0,179.9,0.1024
13,sor,1,SELL,8375,7429,0.887045,9895.5,9920.01,-182085,20.6522,1,864.6,1.4903
13,sor,2,SELL,4492,4492,1,9855,9850.52,20137,-6.52825,0,13629.8,2.2608
13,sor,3,BUY,7227,7227,1,9853,9857.94,35726,-0.168904,0,591.5,2.2212
13,sor,4,BUY,3190,3190,1,9858.5,9876.32,56849,9.44902,0,202.9,1.8558
13,sor,5,BUY,1947,1947,1,9885.5,9920.43,68013.5,34.9325,0,177.3,0.8667
14,sor,0,BUY,7171,7171,1,9920,9947.61,198004,27.6118,0,570.7,2.3533
14,sor,1,BUY,5684,5684,1,9940,9976.72,208737,5.72361,0,255,1.5404
14,sor,2,BUY,7348,7348,1,9951,9993.9,315257,20.2179,0,307.4,4.2804
14,sor,3,SELL,5288,5288,1,10006.5,9945.52,322461,60.9798,0,619.3,1.2092
14,sor,4,SELL,8528,8528,1,9998,9992.12,50185,0.884733,0,571.5,4.3515
14,sor,5,BUY,3499,3499,1,10010.5,10021.9,40040.5,-10.356,0,460.8,1.0755
15,sor,0,SELL,1824,1824,1,10141,10143,-3651,23.4396,0,430.1,0.7371
15,sor,1,BUY,705,705,1,10280.5,10254.4,-18405.5,-26.1071,0,175.6,0.0729
15,sor,2,SELL,8291,8291,1,10169.5,10134,294456,1.6152,0,571.3,3.0393
15,sor,3,SELL,5892,5892,1,10292,10274.1,105257,2.08399,0,681.4,1.3749
15,sor,4,SELL,1617,1617,1,10314,10332,-29106,-18,0,179.7,0.1617
15,sor,5,SELL,4581,4581,1,10443,10435.6,33865,7.39249,0,495.6,1.503
16,sor,0,SELL,7219,7219,1,9859,9851.24,56028,2.68292,0,8514.1,3.0384
16,sor,1,SELL,3306,3306,1,9870,9860.09,32777,-8.07446,0,7100.1,0.7923
16,sor,2,SELL,7157,7157,1,9641,9663.76,-162896,23.5335,0,19388.9,1.9469
16,sor,3,SELL,3652,3652,1,9829.5,9803.72,94135,-13.9364,0,8745.3,1.9692
16,sor,4,SELL,9155,9155,1,9860,9836.46,215475,23.0643,0,3067.1,4.0815
16,sor,5,BUY,7770,7770,1,9869.5,9902.86,259233,-0.659087,0,10125.1,1.7247
17,sor,0,BUY,9245,9245,1,9940.5,9937.26,-29925.5,38.1047,0,616.1,2.3015
17,sor,1,BUY,6086,6086,1,9802,9788.67,-81155,17.5857,0,779.2,1.2013
17,sor,2,SELL,7940,7940,1,9633,9603.51,234170,3.01418,0,583.8,2.5965
17,sor,3,SELL,6810,6810,1,9852.5,9826.35,178053,24.4381,0,527.5,1.9818
17,sor,4,SELL,4205,4205,1,9931.5,9936.35,-20409.5,24.8187,0,483.7,0.9875
17,sor,5,BUY,4707,4707,1,9916,9936.1,94615,3.91079,0,534.6,1.4904
18,sor,0,BUY,9477,9477,1,9992,9991.64,-3370,-0.355598,0,616.3,4.7871
18,sor,1,SELL,3922,3922,1,9992,9986.7,20797,5.30265,0,788.9,1.9908
18,sor,2,BUY,1990,1990,1,9992,9984.66,-14602,-7.33769,0,200.7,1.251
18,sor,3,BUY,9305,9305,1,9991.5,9984.34,-66593.5,-7.15674,0,676.8,4.1814
18,sor,4,BUY,5694,5694,1,9992,9985.61,-36372,-6.38778,0,503.4,2.7675
18,sor,5,BUY,4962,4962,1,9992,9995.31,16414,3.30794,0,5120.1,1.4439
19,sor,0,BUY,1618,1618,1,10002,10003,1618,1,0,369,1.4562
19,sor,1,SELL,6975,6975,1,10001.5,9996.39,35649.5,5.11104,0,583.5,2.0097
19,sor,2,SELL,7953,7953,1,9869,9908.19,-311643,-39.1856,0,258.4,0.7953
19,sor,3,SELL,1469,1469,1,10123.5,10107.1,24107.5,16.4108,0,179.5,0.8469
19,sor,4,BUY,3248,3248,1,10197,10192.5,-14573,-5.48676,0,452.4,0.7055
19,sor,5,SELL,6685,6685,1,10236,10214.3,144999,-14.0909,0,542.4,3.6891
20,sor,0,SELL,2084,2084,1,9950,9950.75,-1555,-0.746161,0,200.8,0.2084
20,sor,1,SELL,5527,5527,1,10125,10099.1,143055,-18.1111,0,502.4,1.4599
20,sor,2,BUY,735,735,1,10161,10178.5,12828,17.4531,0,5144.1,0.0783
20,sor,3,SELL,3457,3457,1,10161.5,10162,-1719.5,-8.9974,0,452.3,1.3833
20,sor,4,BUY,8391,8391,1,10089.5,10116.9,230256,30.22,0,627.4,2.4348
20,sor,5,BUY,9651,9651,1,9975,9992.28,166788,31.4329,0,661.6,5.238
21,sor,0,SELL,8784,8784,1,10620,10615.3,40872,4.65301,0,3483.5,3.9582
21,sor,1,SELL,8205,8205,1,10415.5,10430.5,-122914,33.9519,0,595.4,2.2785
21,sor,2,BUY,8808,6668,0.757039,9964.5,10025.6,407429,12.5046,1,4681.4,1.4828
21,sor,3,BUY,8293,8293,1,9954,9907.04,-389471,35.1865,0,589,1.9314
21,sor,4,SELL,4573,4573,1,9826.5,9802.23,110968,20.9422,0,1196.2,1.2268
21,sor,5,BUY,1162,1162,1,9463.5,9521.88,67843,56.8847,0,195.9,0.117
22,sor,0,BUY,9817,9817,1,10228,10234.8,66429,6.76673,0,1066.7,3.6702
22,sor,1,SELL,8786,8786,1,10045.5,10031.9,119611,13.6138,0,760.6,1.9951
22,sor,2,BUY,699,699,1,10017.5,10018.9,1002.5,0.934192,0,117.5,0.6291
22,sor,3,BUY,9127,9127,1,10188,10206.8,171259,18.764,0,619.5,3.8835
22,sor,4,BUY,3817,3817,1,10267.5,10254.6,-49255.5,16.1612,0,469.5,0.8515
22,sor,5,BUY,6903,6903,1,10124,10167.7,301324,43.6512,0,533.9,1.6542
23,sor,0,SELL,6486,6486,1,10144,10094.3,322205,49.677,0,551.2,2.2929
23,sor,1,SELL,6702,6702,1,10083,10052,207507,-20.5307,0,290.4,4.2606
23,sor,2,BUY,879,879,1,10055.5,9991.81,-55985.5,-63.6923,0,173.7,0.1431
23,sor,3,BUY,8173,8173,1,10003.5,10029.2,210274,-3.9923,0,590.3,2.089
23,sor,4,SELL,8545,8545,1,10055,10052.7,19413,12.4438,0,2067.3,3.7026
23,sor,5,BUY,5745,5745,1,10114,10089.2,-142346,-24.7774,0,2309.2,0.5881
24,sor,0,SELL,9971,9971,1,10021.5,10027,-54351.5,33.2374,0,671.2,3.4254
24,sor,1,SELL,4610,4610,1,9853.5,9866.26,-58804,-12.2557,0,473.3,2.0187
24,sor,2,SELL,6191,6191,1,9790,9777.51,77332,6.92164,0,551.6,1.5975
